PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,include?,Language1,Language2,Language3,Language4,within/between,materials,comments
J,"Lopez-Perez, PJ; Dampure, J; Hernandez-Cabrera, JA; Barber, HA",,,,"Lopez-Perez, P. J.; Dampure, J.; Hernandez-Cabrera, J. A.; Barber, H. A.",,,Semantic parafoveal-on-foveal effects and preview benefits in reading: Evidence from Fixation Related Potentials,BRAIN AND LANGUAGE,,,,,,,,,,,,"During reading parafoveal information can affect the processing of the word currently fixated (parafovea-on-fovea effect) and words perceived parafoveally can facilitate their subsequent processing when they are fixated on (preview effect). We investigated parafoveal processing by simultaneously recording eye movements and EEG measures. Participants read word pairs that could be semantically associated or not. Additionally, the boundary paradigm allowed us to carry out the same manipulation on parafoveal previews that were displayed until reader's gaze moved to the target words. Event Related Potentials time-locked to the prime-preview presentation showed a parafoveal-on-foveal N400 effect. Fixation Related Potentials time locked to the saccade offset showed an N400 effect related to the prime-target relationship. Furthermore, this later effect interacted with the semantic manipulation of the previews, supporting a semantic preview benefit. These results demonstrate that at least under optimal conditions foveal and parafoveal information can be simultaneously processed and integrated. (C) 2016 Elsevier Inc. All rights reserved.",,,,"Hernandez-Cabrera, Juan/H-8309-2015; Barber, Horacio A./G-7438-2011","Hernandez-Cabrera, Juan/0000-0001-6731-5670; Barber, Horacio A./0000-0001-9425-1633; Basque Center on Cognition, Brain and Language, BCBL./0000-0002-8345-6892",,,,,,,,,,,,0093-934X,1090-2155,,,,NOV,2016,162,,,,,,29,34,,10.1016/j.bandl.2016.07.009,,,,,,,WOS:000388057200004,27513878,,,,,Yes,Spanish,,,,,word pairs,gaze contingent; with EEG
J,"Yan, M; Kliegl, R",,,,"Yan, Ming; Kliegl, Reinhold",,,CarPrice versus CarpRice: Word Boundary Ambiguity Influences Saccade Target Selection During the Reading of Chinese Sentences,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"As a contribution to a theoretical debate about the degree of high-level influences on saccade targeting during sentence reading, we investigated eye movements during the reading of structurally ambiguous Chinese character strings and examined whether parafoveal word segmentation could influence saccade-target selection. As expected, ambiguous strings took longer to process. More critically there were theoretically relevant interactions between ambiguity and launch site when first-fixation location and saccade amplitude served as dependent variables: Ambiguous strings in the parafovea triggered longer saccades and more rightward fixations for close launch sites than unambiguous ones; the reverse result was obtained for far launch sites. These crossover interactions indicate that parafoveal word segmentation influences saccade generation in Chinese and provide support of the hypothesis that high-level information can be involved in the decision about where to fixate next.",,,,"Kliegl, Reinhold/A-1276-2009; Kliegl, Reinhold/AAD-3463-2019","Kliegl, Reinhold/0000-0002-0180-8488; Kliegl, Reinhold/0000-0002-0180-8488; Yan, Ming/0000-0002-3772-5238",,,,,,,,,,,,0278-7393,1939-1285,,,,NOV,2016,42,11,,,,,1832,1838,,10.1037/xlm0000276,,,,,,,WOS:000392115900011,27078160,,,,,Yes,Chinese,,,,,sentences,
J,"Carrol, G; Conklin, K; Gyllstad, H",,,,"Carrol, Gareth; Conklin, Kathy; Gyllstad, Henrik",,,FOUND IN TRANSLATION: The Influence of the L1 on the Reading of Idioms in a L2,STUDIES IN SECOND LANGUAGE ACQUISITION,,,,,,,,,,,,"Formulaic language represents a challenge to even the most proficient of language learners. Evidence is mixed as to whether native and nonnative speakers process it in a fundamentally different way, whether exposure can lead to more nativelike processing for nonnatives, and how L1 knowledge is used to aid comprehension. In this study we investigated how advanced nonnative speakers process idioms encountered in their L2. We used eye-tracking to see whether a highly proficient group of L1 Swedes showed any evidence of a formulaic processing advantage for English idioms. We also compared translations of Swedish idioms and congruent idioms (items that exist in both languages) to see how L1 knowledge is utilized during online processing. Results support the view that L1 knowledge is automatically used from the earliest stages of processing, regardless of whether sequences are congruent, and that exposure and advanced proficiency can lead to nativelike formulaic processing in the L2.",,,,,"Conklin, Kathy/0000-0003-2347-8018",,,,,,,,,,,,0272-2631,1470-1545,,,,SEP,2016,38,3,,,,,403,443,,10.1017/S0272263115000492,,,,,,,WOS:000382989600002,,,,,,Yes,English,,,,,sentences,L1 vs L2 (from Swedish)
J,"Wang, CY; Tsai, MJ; Tsai, CC",,,,"Wang, Ching-Yeh; Tsai, Meng-Jung; Tsai, Chin-Chung",,,Multimedia recipe reading: Predicting learning outcomes and diagnosing cooking interest using eye-tracking measures,COMPUTERS IN HUMAN BEHAVIOR,,,,,,,,,,,,"This study aimed to explore the relationships between students' visual behaviors and learning outcomes, and between visual behaviors and, prior cooking interest in multimedia recipe learning. An eye-tracking experiment, including pretest, recall test, and retention test, was conducted with a sample of 29 volunteer hospitality majors in Taiwan. The multimedia recipe included a static page showing the ingredients in a text-and-picture representation and a dynamic page showing the knife skills in a text-and video representation. Total reading time, total fixation duration, number of fixations and inter-scanning count were used to explore the students' visual attention distributions among the different representation elements and their visual strategies for learning the recipe. The results showed that all students paid more visual attention to the text than to the picture information for the static recipe, and paid more visual attention to the video than to the text on the dynamic page. In addition, the visual attention paid to the text on the dynamic page was negatively correlated with the retention of the episodic knowledge of knife skills. In contrast, the visual attention paid to the text on the static ingredient page was positively correlated with students' prior cooking interest. Finally, the inter-scanning count between text and video on the dynamic page was the best index to negatively predict students' learning retention. Total fixation duration on the text information on the static page was the best index to positively predict students' prior cooking interest. Future studies and applications are discussed. (c) 2016 Elsevier Ltd. All rights reserved.",,,,"Tsai, Chin-Chung/E-5902-2010","Tsai, Chin-Chung/0000-0001-7744-9971; Tsai, Meng-Jung/0000-0002-8994-861X",,,,,,,,,,,,0747-5632,1873-7692,,,,SEP,2016,62,,,,,,9,18,,10.1016/j.chb.2016.03.064,,,,,,,WOS:000378952300002,,,,,,Yes,Chinese (traditional),,,,,texts,recipes with photos
J,"Sheikh, NA; Titone, D",,,,"Sheikh, Naveed A.; Titone, Debra",,,The embodiment of emotional words in a second language: An eye-movement study,COGNITION & EMOTION,,,,,,,,,,,,"The hypothesis that word representations are emotionally impoverished in a second language (L2) has variable support. However, this hypothesis has only been tested using tasks that present words in isolation or that require laboratory-specific decisions. Here, we recorded eye movements for 34 bilinguals who read sentences in their L2 with no goal other than comprehension, and compared them to 43 first language readers taken from our prior study. Positive words were read more quickly than neutral words in the L2 across first-pass reading time measures. However, this emotional advantage was absent for negative words for the earliest measures. Moreover, negative words but not positive words were influenced by concreteness, frequency and L2 proficiency in a manner similar to neutral words. Taken together, the findings suggest that only negative words are at risk of emotional disembodiment during L2 reading, perhaps because a positivity bias in L2 experiences ensures that positive words are emotionally grounded.",,,,,,,,,,,,,,,,,0269-9931,1464-0600,,,,אפר-02,2016,30,3,,,,,488,500,,10.1080/02699931.2015.1018144,,,,,,,WOS:000368723500007,25786993,,,,,Yes,English,,,,,sentences,L2 (from French)
J,"Jared, D; Ashby, J; Agauas, SJ; Levy, BA",,,,"Jared, Debra; Ashby, Jane; Agauas, Stephen J.; Levy, Betty Ann",,,Phonological Activation of Word Meanings in Grade 5 Readers,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"Three experiments examined the role of phonology in the activation of word meanings in Grade 5 students. In Experiment 1, homophone and spelling control errors were embedded in a story context and participants performed a proofreading task as they read for meaning. For both good and poor readers, more homophone errors went undetected than spelling control errors. In Experiments 2 and 3, homophone and spelling control errors were in sentence contexts. Experiment 2 used an online sentence verification task, and found that both good and poor readers were less accurate when sentences contained a homophone error than a spelling control error. Furthermore, a difference between the 2 types of sentences was observed even when participants were concurrently performing an articulation task. In Experiment 3, initial reading times were shorter on homophone errors than on spelling controls, and participants were less likely to make a regression from homophone errors than spelling controls. These experiments provide clear evidence that phonology makes an important contribution to the activation of word meanings in Grade 5 readers.",,,,,,,,,,,,,,,,,0278-7393,1939-1285,,,,APR,2016,42,4,,,,,524,541,,10.1037/xlm0000184,,,,,,,WOS:000373471600002,26436634,,,,,Yes,English,,,,,sentences,kids
J,"Jones, MW; Snowling, MJ; Moll, K",,,,"Jones, Manon W.; Snowling, Margaret J.; Moll, Kristina",,,What Automaticity Deficit? Activation of Lexical Information by Readers With Dyslexia in a Rapid Automatized Naming Stroop-Switch Task,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"Reading fluency is often predicted by rapid automatized naming (RAN) speed, which as the name implies, measures the automaticity with which familiar stimuli (e.g., letters) can be retrieved and named. Readers with dyslexia are considered to have less ""automatized"" access to lexical information, reflected in longer RAN times compared with nondyslexic readers. We combined the RAN task with a Stroop-switch manipulation to test the automaticity of dyslexic and nondyslexic readers' lexical access directly within a fluency task. Participants named letters in 10 x 4 arrays while eye movements and speech responses were recorded. Upon fixation, specific letter font colors changed from black to a different color, whereupon the participant was required to rapidly switch from naming the letter to naming the letter color. We could therefore measure reading group differences on ""automatic"" lexical processing, insofar as it was task-irrelevant. Readers with dyslexia showed obligatory lexical processing and a timeline for recognition that was overall similar to typical readers, but a delay emerged in the output (naming) phase. Further delay was caused by visual-orthographic competition between neighboring stimuli. Our findings outline the specific processes involved when researchers speak of ""impaired automaticity"" in dyslexic readers' fluency, and are discussed in the context of the broader literature in this field.",,,,,,,,,,,,,,,,,0278-7393,1939-1285,,,,MAR,2016,42,3,,,,,465,474,,10.1037/xlm0000186,,,,,,,WOS:000371346400009,26414305,,,,,No,,,,,,,
J,"Jian, YC",,,,"Jian, Yu-Cin",,,Fourth Graders' Cognitive Processes and Learning Strategies for Reading Illustrated Biology Texts: Eye Movement Measurements,READING RESEARCH QUARTERLY,,,,,,,,,,,,"Previous research suggests that multiple representations can improve science reading comprehension. This facilitation effect is premised on the observation that readers can efficiently integrate information in text and diagram formats; however, this effect in young readers is still contested. Using eye-tracking technology and sequential analysis, this study investigated students' reading strategies and comprehension of illustrated biology texts in relation to adult readers' performance. The target population was fourth-grade students with high reading ability, and the control group was university students. All participants read a biology article from an elementary school science textbook containing two illustrations, one representational and one decorative. After the reading task, participants answered questions on recognition, textual, and illustration items. Unsurprisingly, the university students outperformed the younger students on all tests; however, more interestingly, eye movement patterns differed across the two groups. The adult readers demonstrated bidirectional reading pathways for both text and illustrations, whereas the fourth graders' eye fixations only went back and forth within paragraphs in the text and between the illustrations, but made fewer references to both text and illustration. This suggests that regardless of their high reading ability, fourth-grade students' visual literacy is not mature enough to perceive connections between corresponding features of different representations crucial to reading comprehension. Despite differences in cognitive processes between adult readers and young readers, high-ability young readers still have certain capabilities in reading comprehension. The results of sequential analysis showed that they looked back to previous paragraphs frequently, indicating that they were monitoring their comprehension.",,,,,,,,,,,,,,,,,0034-0553,1936-2722,,,,JAN-MAR,2016,51,1,,,,,93,109,,10.1002/rrq.125,,,,,,,WOS:000368234100005,,,,,,Yes,Chinese (traditional),,,,,texts,illustrated texts; kids vs adults
J,"Godfroid, A; Spino, L",,,,"Godfroid, Aline; Spino, Le Anne",,,Reconceptualizing Reactivity of Think-Alouds and Eye Tracking: Absence of Evidence Is Not Evidence of Absence,LANGUAGE LEARNING,,,,,,,,,,,,"This study extends previous reactivity research on the cognitive effects of think-alouds to include eye-tracking methodology. Unlike previous studies, we supplemented traditional superiority tests with equivalence tests, because only the latter are conceptually appropriate for demonstrating nonreactivity. Advanced learners of English read short English texts embedded with pseudowords in an eye-tracking (n = 28), think-aloud (n = 28), or silent control condition (n = 46). Results indicated that neither eye tracking nor thinking aloud affected text comprehension. In terms of vocabulary recognition, thinking aloud had a small, positive effect, and the results for eye tracking were mixed. We discuss challenges and opportunities of equivalence testing and explore ways to improve study quality more generally in second language acquisition research.",,,,,,,,,,,,,,,,,0023-8333,1467-9922,,,,DEC,2015,65,4,,,,,896,928,,10.1111/lang.12136,,,,,,,WOS:000363870700005,,,,,,Yes,English,,,,,texts,L2 (Dutch L1); word learning
J,"Scrimin, S; Mason, L",,,,"Scrimin, Sara; Mason, Lucia",,,Does mood influence text processing and comprehension? Evidence from an eye-movement study,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,"BackgroundPrevious research has indicated that mood influences cognitive processes. However, there is scarce data regarding the link between everyday emotional states and readers' text processing and comprehension. AimWe aim to extend current research on the effects of mood induction on science text processing and comprehension, using eye-tracking methodology. We investigated whether a positive-, negative-, and neutral-induced mood influences online processing, as revealed by indices of visual behaviour during reading, and offline text comprehension, as revealed by post-test questions. We were also interested in the link between text processing and comprehension. SampleSeventy-eight undergraduate students randomly assigned to three mood-induction conditions. MethodsStudents were mood-induced by watching a video clip. They were then asked to read a scientific text while eye movements were registered. Pre- and post-reading knowledge was assessed through open-ended questions. ResultsExperimentally induced moods lead readers to process an expository text differently. Overall, students in a positive mood spent significantly longer on the text processing than students in the negative and neutral moods. Eye-movement patterns indicated more effective processing related to longer proportion of look-back fixation times in positive-induced compared with negative-induced readers. Students in a positive mood also comprehended the text better, learning more factual knowledge, compared with students in the negative group. Only for the positive-induced readers did the more purposeful second-pass reading positively predict text comprehension. ConclusionsNew insights are given on the effects of normal mood variations and students' text processing and comprehension by the use of eye-tracking methodology. Important implications for the role of emotional states in educational settings are highlighted.",,,,,,,,,,,,,,,,,0007-0998,2044-8279,,,,SEP,2015,85,3,,,,,387,406,,10.1111/bjep.12080,,,,,,,WOS:000359604000010,26010020,,,,,Yes,Italian,,,,,texts,
J,"Joseph, HSSL; Bremner, G; Liversedge, SP; Nation, K",,,,"Joseph, Holly S. S. L.; Bremner, Georgina; Liversedge, Simon P.; Nation, Kate",,,"Working memory, reading ability and the effects of distance and typicality on anaphor resolution in children",JOURNAL OF COGNITIVE PSYCHOLOGY,,,,,,,,,,,,"We investigated the time course of anaphor resolution in children and whether this is modulated by individual differences in working memory and reading skill. The eye movements of 30 children (10-11 years) were monitored as they read short paragraphs in which (1) the semantic typicality of an antecedent and (2) its distance in relation to an anaphor were orthogonally manipulated. Children showed effects of distance and typicality on the anaphor itself and also on the word to the right of the anaphor, suggesting that anaphoric processing begins immediately but continues after the eyes have left the anaphor. Furthermore, children showed no evidence of resolving anaphors in the most difficult condition (distant atypical antecedent), suggesting that anaphoric processing that is demanding may not occur online in children of this age. Finally, working memory capacity and reading comprehension skill affect the magnitude and time course of typicality and distance effects during anaphoric processing.",,,,,"Joseph, Holly/0000-0003-4325-4628; Nation, Kate/0000-0001-5048-6107",,,,,,,,,,,,2044-5911,2044-592X,,,,יול-04,2015,27,5,,,SI,,622,639,,10.1080/20445911.2015.1005095,,,,,,,WOS:000356784000009,,,,,,Yes,English,,,,,texts,kids
J,"Belanger, NN; Rayner, K",,,,"Belanger, Nathalie N.; Rayner, Keith",,,What Eye Movements Reveal About Deaf Readers,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,"Levels of illiteracy in deaf populations around the world have been extremely high for decades and much higher than the illiteracy levels found in the general population. Research has mostly focused on deaf readers' difficulties rather than on their strengths, but having a better grasp of deaf readers' strengths could inform reading education. Deaf readers are a unique population. They process language and the world surrounding them mostly via the visual channel, and this greatly affects how they read or might learn to read. The study of eye movements in reading provides highly sophisticated information about how words and sentences are processed, and our research with deaf readers reveals the importance of their uniqueness.",,,,,,,,,,,,,,,,,0963-7214,1467-8721,,,,JUN,2015,24,3,,,,,220,226,,10.1177/0963721414567527,,,,,,,WOS:000356309600010,26594098,,,,,No,,,,,,,
J,"Fukumura, K; van Gompel, RPG",,,,"Fukumura, Kumiko; van Gompel, Roger P. G.",,,Effects of Order of Mention and Grammatical Role on Anaphor Resolution,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"A controversial issue in anaphoric processing has been whether processing preferences of anaphoric expressions are affected by the antecedent's grammatical role or surface position. Using eye tracking, Experiment 1 examined the comprehension of pronouns during reading, which revealed shorter reading times in the pronoun region and later regions when the antecedent was the subject than when it was the prepositional object. There was no effect of antecedent position. Experiment 2 showed that the choice between pronouns and repeated names during language production is also primarily affected by the antecedent's grammatical role. Experiment 3 examined the comprehension of repeated names, showing a clear effect of antecedent position. Reading times in the name region and in later regions were longer when the antecedent was 1st mentioned than 2nd mentioned, whereas the antecedent's grammatical role only affected regression measures in the name region, showing more processing difficulty with a subject than prepositional-object antecedent. Thus, the processing of pronouns is primarily driven by antecedent grammatical role rather than position, whereas the processing of repeated names is most strongly affected by position, suggesting that different representations and processing constraints underlie the processing of pronouns and names.",,,,,"van Gompel, Roger/0000-0002-1557-0693",,,,,,,,,,,,0278-7393,1939-1285,,,,MAR,2015,41,2,,,,,501,525,,10.1037/xlm0000041,,,,,,,WOS:000350986400013,25068852,,,,,Yes,English,,,,,texts,
J,"Bucci, MP; Melithe, D; Ajrezo, L; Bui-Quoc, E; Gerard, CL",,,,"Bucci, Maria Pia; Melithe, Damien; Ajrezo, Layla; Bui-Quoc, Emmanuel; Gerard, Christophe-Loic",,,The influence of oculomotor tasks on postural control in dyslexic children,FRONTIERS IN HUMAN NEUROSCIENCE,,,,,,,,,,,,"Dual task is known to affect postural stability in children We explored the effect of visual tasks on postural control in thirty dyslexic children. A selected group of thirty chronological age-matched non-dyslexic children (mean age: 9.92 +/- 0.35 years) and a group of thirty reading age-matched non-dyslexic children (mean reading age: 7.90 +/- 0.25 years) were chosen for comparison. All children underwent ophthalmologic and optometric evaluation. Eye movements were recorded by a video-oculography system (EyeBrain (R) 12) and postural sway was recorded simultaneously by a force platform (TechnoConept (R)). All children performed fixations, pursuits, pro- and anti-saccades tasks. Dyslexic children showed significantly poor near fusional vergence ranges (convergence and divergence) with respect to the non dyslexic children groups. During the postural task, quality of fixation and anti-saccade performance in dyslexic children were significantly worse compared to the two non-dyslexic children groups. In contrast, the number of catch-up saccades during pursuits and the latency of pro- and anti-saccades were similar in the three groups of children examined. Concerning postural quality, dyslexic children were more unstable than chronological age matched non dyslexic children group. For all three groups of children tested we also observed that executing saccades (pro- and anti-saccades) reduced postural values significantly in comparison with fixation and pursuit tasks. The impairment in convergence and divergence fusional capabilities could be due to an immaturity in cortical structures controlling the vergence system. The poor oculomotor performance reported in dyslexic children suggested a deficit in allocating visual attention and their postural instability observed is in line with the cerebellar impairment previously reported in dyslexic children. Finally, pro- or anti-saccades reduce postural values compared to fixation and pursuit tasks in all groups of children tested, suggesting a different influence of visual tasks on postural control according to their attentional demand.",,,,,,,,,,,,,,,,,1662-5161,,,,,דצמ-09,2014,8,,,,,,,,981,10.3389/fnhum.2014.00981,,,,,,,WOS:000346078300002,25538603,,,,,No,,,,,,,
J,"Reingold, EM; Sheridan, H",,,,"Reingold, Eyal M.; Sheridan, Heather",,,Estimating the divergence point: a novel distributional analysis procedure for determining the onset of the influence of experimental variables,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,"The divergence point analysis procedure is aimed at obtaining an estimate of the onset of the influence of an experimental variable on response latencies (e.g., fixation duration, reaction time). The procedure involves generating survival curves for two conditions, and using a bootstrapping technique to estimate the timing of the earliest discernible divergence between curves. In the present paper, several key extensions for this procedure were proposed and evaluated by conducting simulations and by reanalyzing data from previous studies. Our findings indicate that the modified versions of the procedure performed substantially better than the original procedure under conditions of low experimental power. Furthermore, unlike the original procedure, the modified procedures provided divergence point estimates for individual participants and permitted testing the significance of the difference between estimates across conditions. The advantages of the modified procedures are illustrated, the theoretical and methodological implications are discussed, and promising future directions are outlined.",,,,,,,,,,,,,,,,,1664-1078,,,,,דצמ-08,2014,5,,,,,,,,1432,10.3389/fpsyg.2014.01432,,,,,,,WOS:000346800200001,25538670,,,,,No,,,,,,,
J,"Lerner, I; Armstrong, BC; Frost, R",,,,"Lerner, Itamar; Armstrong, Blair C.; Frost, Ram",,,What can we learn from learning models about sensitivity to letter-order in visual word recognition?,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"Recent research on the effects of letter transposition in Indo-European Languages has shown that readers are surprisingly tolerant of these manipulations in a range of tasks. This evidence has motivated the development of new computational models of reading that regard flexibility in positional coding to be a core and universal principle of the reading process. Here we argue that such approach does not capture cross-linguistic differences in transposed-letter effects, nor does it explain them. To address this issue, we investigated how a simple domain-general connectionist architecture performs in tasks such as letter-transposition and letter substitution when it had learned to process words in the context of different linguistic environments. The results show that in spite of the neurobiological noise involved in registering letter-position in all languages, flexibility and inflexibility in coding letter order is also shaped by the statistical orthographic properties of words in a language, such as the relative prevalence of anagrams. Our learning model also generated novel predictions for targeted empirical research, demonstrating a clear advantage of learning models for studying visual word recognition. (C) 2014 Elsevier Inc. All rights reserved.",,,,"Armstrong, Blair/Q-3963-2016","Armstrong, Blair/0000-0002-6345-0389; Basque Center on Cognition, Brain and Language, BCBL./0000-0002-8345-6892",,,,,,,,,,,,0749-596X,1096-0821,,,,NOV,2014,77,,,,,,40,58,,10.1016/j.jml.2014.09.002,,,,,,,WOS:000345107300003,25431521,,,,,No,,,,,,,
J,"Chen, LJ; Wang, L; Yang, YF",,,,"Chen, Lijing; Wang, Lin; Yang, Yufang",,,Distinguish between focus and newness: An ERP study,JOURNAL OF NEUROLINGUISTICS,,,,,,,,,,,,"The relationship between focus and newness was explored by recording brain responses to information structure in discourse reading. Focus was manipulated by whether or not placing a Chinese focus-particle ""shi"" in front of the critical words, while newness was manipulated by whether or not introducing the critical words in the preceding context. The focused words elicited a larger P2 as well as a larger positivity than the non-focused words, possibly reflecting attention allocation and immediate integration of focused information respectively. In contrast, the new words elicited a larger N400 and a smaller LPC than the given words, which may reflect difficult integration or memory retrieval of new information. These results suggest that the processing of focus and newness may involve different cognitive processes. Therefore, focus should be distinguished from newness from the perspective of cognitive processing. (C) 2014 Elsevier Ltd. All rights reserved.",,,,,"Chen, Lijing/0000-0002-0507-7694",,,,,,,,,,,,0911-6044,,,,,SEP,2014,31,,,,,,28,41,,10.1016/j.jneuroling.2014.06.002,,,,,,,WOS:000340981300003,,,,,,No,,,,,,,
J,"Neuman, SB; Kaefer, T; Pinkham, A; Strouse, G",,,,"Neuman, Susan B.; Kaefer, Tanya; Pinkham, Ashley; Strouse, Gabrielle",,,Can Babies Learn to Read? A Randomized Trial of Baby Media,JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,"Targeted to children as young as 3 months old, there is a growing number of baby media products that claim to teach babies to read. This randomized controlled trial was designed to examine this claim by investigating the effects of a best-selling baby media product on reading development. One hundred and seventeen infants, ages 9 to 18 months, were randomly assigned to treatment and control groups. Children in the treatment condition received the baby media product, which included DVDs, word and picture flashcards, and word books to be used daily over a 7-month period; children in the control condition, business as usual. Examining a 4-phase developmental model of reading, we examined both precursor skills (such as letter name, letter sound knowledge, print awareness, and decoding) and conventional reading (vocabulary and comprehension) using a series of eye-tracking tasks and standardized measures. Results indicated that babies did not learn to read using baby media, despite some parents displaying great confidence in the program's effectiveness.",,,,"Strouse, Gabrielle/I-8237-2019","Strouse, Gabrielle/0000-0002-6955-4955; Kaefer, Tanya/0000-0002-2562-0965",,,,,,,,,,,,0022-0663,1939-2176,,,,AUG,2014,106,3,,,,,815,830,,10.1037/a0035937,,,,,,,WOS:000346912500015,,,,,,No,,,,,,,
J,"Miwa, K; Dijkstra, T; Bolger, P; Baayen, RH",,,,"Miwa, Koji; Dijkstra, Ton; Bolger, Patrick; Baayen, R. Harald",,,"Reading English with Japanese in mind: Effects of frequency, phonology, and meaning in different-script bilinguals",BILINGUALISM-LANGUAGE AND COGNITION,,,,,,,,,,,,"Previous priming studies suggest that, even for bilinguals of languages with different scripts, non-selective lexical activation arises. This lexical decision eye-tracking study examined contributions of frequency, phonology, and meaning of L1 Japanese words on L2 English word lexical decision processes, using mixed-effects regression modeling. The response times and eye fixation durations of late bilinguals were co-determined by L1 Japanese word frequency and cross-language phonological and semantic similarities, but not by a dichotomous factor encoding cognate status. These effects were not observed for native monolingual readers and were confirmed to be genuine bilingual effects. The results are discussed based on the Bilingual Interactive Activation model (BIA+, Dijkstra & Van Heuven, 2002) under the straightforward assumption that English letter units do not project onto Japanese word units.",,,,"Dijkstra, Ton/A-7042-2010; Miwa, Koji/N-6428-2018","Miwa, Koji/0000-0002-0890-9265",,,,,,,,,,,,1366-7289,1469-1841,,,,JUL,2014,17,3,,,,,445,463,,10.1017/S1366728913000576,,,,,,,WOS:000337730600001,,,,,,Yes,English,,,,,words,L2 (Japanese L1)
J,"Ablinger, I; Huber, W; Radach, R",,,,"Ablinger, Irene; Huber, Walter; Radach, Ralph",,,Eye movement analyses indicate the underlying reading strategy in the recovery of lexical readers,APHASIOLOGY,,,,,,,,,,,,"Background: Psycholinguistic error analysis of dyslexic responses in various reading tasks provides the primary basis for clinically discriminating subtypes of pathological reading. Within this framework, phonology-related errors are indicative of a sequential word processing strategy, whereas lexical and semantic errors are associated with a lexical reading strategy. Despite the large number of published intervention studies, relatively little is known about changes in error distributions during recovery in dyslexic patients. Aims: The main purpose of the present work was to extend the scope of research on the time course of recovery in readers with acquired dyslexia, using eye tracking methodology to examine word processing in real time. The guiding hypothesis was that in lexical readers a reduction of lexical errors and an emerging predominant production of phonological errors should be associated with a change to a more segmental moment-to-moment reading behaviour. Methods & Procedures: Five patients participated in an eye movement supported reading intervention, where both lexical and segmental reading was facilitated. Reading performance was assessed before (T1) and after (T2) therapy intervention via recording of eye movements. Analyses included a novel way to examine the spatiotemporal dynamics of processing using distributions of fixation positions as different time intervals. These subdistributions reveal the gradual shifting of fixation positions during word processing, providing an adequate metric for objective classification of online reading strategies. Outcome & Results: Therapy intervention led to improved reading accuracy in all subjects. In three of five participants, analyses revealed a restructuring in the underlying reading mechanisms from predominantly lexical to more segmental word processing. In contrast, two subjects maintained their lexical reading procedures. Importantly, the fundamental assumption that a high number of phonologically based reading errors must be associated with segmental word processing routines, while the production of lexical errors is indicative of a holistic reading strategy could not be verified. Conclusions: Our results indicate that despite general improvements in reading performance, only some patients reorganised their word identification process. Contradictive data raise doubts on the validity of psycholinguistic error analysis as an exclusive indicator of changes in reading strategy. We suggest this traditional approach to combine with innovative eye tracking methodology in the interest of more comprehensive diagnostic strategies.",,,,,,,,,,,,,,,,,0268-7038,1464-5041,,,,יונ-03,2014,28,6,,,,,640,657,,10.1080/02687038.2014.894960,,,,,,,WOS:000334266200001,,,,,,Yes,German,,,,,words,dyslexia; intervention
J,"Ma, GJ; Li, XS; Rayner, K",,,,"Ma, Guojie; Li, Xingshan; Rayner, Keith",,,Word Segmentation of Overlapping Ambiguous Strings During Chinese Reading,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,"In 3 experiments, we tested 3 possible mechanisms for segmenting overlapping ambiguous strings in Chinese reading. The first 2 characters and the last 2 characters in a 3-character ambiguous string could both constitute a word in the reported studies. The left-priority hypothesis assumes that the word on the left has an advantage in the competition and the other word cannot be processed until the word on the left is recognized. The independent processing hypothesis assumes that words in different positions are processed simultaneously and independently, and the word segmentation ambiguity cannot be settled without the help of sentence context. The competition hypothesis assumes that all of the words compete for a single winner. The results support a competition account that the characters in the perceptual span activate all of the words they can constitute, and any word can win the competition if its activation is high enough.",,,,,"Ma, Guojie/0000-0002-3688-9118",,,,,,,,,,,,0096-1523,1939-1277,,,,JUN,2014,40,3,,,,,1046,1059,,10.1037/a0035389,,,,,,,WOS:000336786900016,24417292,,,,,Yes,Chinese,,,,,sentences,
